[+      0ms] AutoHintDetectionProbe — wayfinder #45 detection spike (THROWAWAY)
[+      1ms] Logging to: C:\Users\knausj\git\Windows-Hinting\prototype\AutoHintDetectionProbe\auto-hint-detection-probe.log
[+      1ms] 
[+      1ms] Manual test checklist — open each, watch which events fire + the classify line:
[+      1ms]   v1 catalog:  Start menu · Search · Notification Center · Control Center ·
[+      1ms]                System-tray overflow · taskbar jump list (right-click a pinned app) ·
[+      1ms]                Task View · Snap Assist (Win+Z / drag-snap) ·
[+      1ms]                shell context menu (right-click desktop) · a Win11 XAML flyout
[+      1ms]   MenuOpened matrix — open a menu bar / context menu in EACH and note if UIA fires:
[+      1ms]                VS Code · GitHub Desktop · Visual Studio · File Explorer
[+      1ms]   Round 2 (COM): also watch UIA-COM Win.WindowOpened/Closed + MenuModeStart/End
[+      1ms]                — focus the problem apps (VS Code, GitHub Desktop).
[+      1ms]   Round 3: WINEVENT OBJECT_FOCUS + UIA FocusChanged — does focus-changed give a
[+      1ms]                clean focused-element signal, incl. into VS Code's in-DOM menu?
[+      1ms]   #49 redraw spike (3 SIGNALS): on attach to the REAL Start root (via
[+      1ms]                WindowOpened(name='Start')) the probe now watches THREE streams and
[+      1ms]                tags each line SC / LAYOUT / SCROLL on one shared Δ cadence clock:
[+      1ms]                  SC     = StructureChanged (tree gained/lost nodes — virtualization-bound)
[+      1ms]                  LAYOUT = LayoutInvalidated (container re-laid-out its children)
[+      1ms]                  SCROLL = ScrollPattern V/H-ScrollPercent changed (visible offset moved)
[+      1ms]                (a) open START, note first SC/LAYOUT +latency vs the WindowOpened lag (readiness);
[+      1ms]                (b) click ALL APPS + SCROLL the list (stays in the Start root) — which stream
[+      1ms]                tracks the scroll, and is its cadence (Δ gaps) clean/debounce-able or thrash? (c) tid.
[+      1ms]                NOTE: typing → results move to the SearchHost window (separate root, not
[+      1ms]                watched here). Manual override: type 'attach' / 'detach' + Enter.
[+      1ms]   Tip: type a label + Enter (e.g. 'START MENU') right before opening it to mark the log.
[+      1ms]   Ctrl+C to quit.
[+      1ms] 
[+      2ms] WinEvent hooks installed: system=True object=True focus=True
[+     64ms] UIA (managed) MenuOpened/MenuClosed handlers registered: True
[+     91ms] UIA (COM) WindowOpened/Closed + MenuModeStart/End handlers registered: True
[+    101ms] UIA (managed) FocusChanged handler registered: True
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+    101ms] READY. Open a surface, or type a label + Enter to drop a MARK divider.
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+  12800ms] ════════════ MARK: ALLAPPS2 ════════════
[+  15206ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15221ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15227ms] WINEVENT SYSTEM_FOREGROUND      lat=  31ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15243ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15292ms] UIA-COM  Win.WindowOpened       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+  15300ms] ╔═ SC ATTACHED (WindowOpened name='Start' (StartMenuExperienceHost) hwnd=0x000101B0) scope=TreeScope_Subtree → ctl=Window name='Start' class='Windows.UI.Core.CoreWindow'. Watching readiness + redraw [SC + LAYOUT:ok + SCROLL:ok]…
[+  15308ms] SC     #1   ChildAdded           +    12ms (Δ    0ms) tid=6 ctl=Window name='Search' rid.len=2
[+  15566ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15567ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16159ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16239ms] SC     #2   ChildRemoved         +   944ms (Δ  932ms) tid=6 ctl=Pane name='CoreInput' rid.len=2
[+  16248ms] SC     #3   ChildRemoved         +   952ms (Δ    8ms) tid=6 ctl=Pane name='Search' rid.len=2
[+  16248ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110813ms] UIA      FocusChanged            ctl=? name='?' class='?' proc=?
[+ 110814ms] UIA      FocusChanged            ctl=Button name='Start' class='ToggleButton' proc=explorer(5936)
[+ 110814ms] UIA      FocusChanged            ctl=Pane name='' class='Shell_TrayWnd' proc=explorer(5936)
[+ 110815ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 110819ms] WINEVENT SYSTEM_FOREGROUND      lat=  16ms hwnd=0x000200E0 class='Shell_TrayWnd' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: taskbar (Shell_TrayWnd — usually NONE unless search/taskview)
[+ 110819ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110824ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110829ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110837ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110838ms] UIA      FocusChanged            ctl=Button name='Start' class='' proc=explorer(5936)
[+ 115972ms] WINEVENT OBJECT_SHOW            lat=   0ms hwnd=0x0008068C class='XamlExplorerHostIslandWindow' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: XamlExplorerHostIsland (Task View / Snap Assist — disambiguate by title)
[+ 115974ms] UIA-COM  Win.WindowOpened       ctl=Window name='' class='XamlExplorerHostIslandWindow' proc=explorer(5936)
[+ 115974ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 115980ms] WINEVENT OBJECT_FOCUS           lat=  47ms hwnd=0x0008068C class='XamlExplorerHostIslandWindow' title='' proc=explorer(5936)
            focus: ctl=Pane name='' | parent: ctl=Pane name=''
            → classify: XamlExplorerHostIsland (Task View / Snap Assist — disambiguate by title)
[+ 115985ms] WINEVENT OBJECT_FOCUS           lat=  62ms hwnd=0x000506E0 class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=explorer(5936)
            focus: ctl=Pane name='' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 115995ms] WINEVENT OBJECT_FOCUS           lat=  62ms hwnd=0x000206FE class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Pane name='' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 116001ms] WINEVENT SYSTEM_FOREGROUND      lat=  47ms hwnd=0x0008068C class='XamlExplorerHostIslandWindow' title='' proc=explorer(5936)
            focus: ctl=Pane name='' | parent: ctl=Pane name=''
            → classify: XamlExplorerHostIsland (Task View / Snap Assist — disambiguate by title)
[+ 116021ms] UIA      FocusChanged            ctl=Pane name='' class='XamlExplorerHostIslandWindow' proc=explorer(5936)
[+ 116022ms] UIA      FocusChanged            ctl=Pane name='' class='Windows.UI.Input.InputSite.WindowClass' proc=explorer(5936)
[+ 118221ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 118224ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x002F0366 class='CASCADIA_HOSTING_WINDOW_CLASS' title='PowerShell' proc=WindowsTerminal(5060)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 118227ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000206FE class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 118228ms] WINEVENT OBJECT_HIDE            lat=   0ms hwnd=0x0008068C class='XamlExplorerHostIslandWindow' title='' proc=explorer(5936)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: XamlExplorerHostIsland (Task View / Snap Assist — disambiguate by title)
[+ 118242ms] UIA-COM  Win.WindowClosed       ctl=Window name='' class='XamlExplorerHostIslandWindow' proc=explorer(5936)
[+ 118257ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x002F0366 class='CASCADIA_HOSTING_WINDOW_CLASS' title='PowerShell' proc=WindowsTerminal(5060)
            focus: ctl=Window name='PowerShell' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 118260ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x00370584 class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=WindowsTerminal(5060)
            focus: ctl=Text name='PowerShell' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 118263ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x00290826 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='PowerShell' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 118266ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x00290826 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='PowerShell' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 118306ms] UIA      FocusChanged            ctl=Group name='Group | ✳ Plan next steps and …' class='NamedContainerAutomationPeer' proc=explorer(5936)
[+ 118307ms] UIA      FocusChanged            ctl=Text name='PowerShell' class='TermControl' proc=WindowsTerminal(5060)
[+ 118308ms] UIA      FocusChanged            ctl=Window name='PowerShell' class='CASCADIA_HOSTING_WINDOW_CLASS' proc=WindowsTerminal(5060)
[+ 118309ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 118312ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 118314ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 118316ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 118318ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 118318ms] UIA      FocusChanged            ctl=Text name='PowerShell' class='' proc=WindowsTerminal(5060)
[+ 118325ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 118325ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 118326ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 119139ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 119140ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 119907ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000200E0 class='Shell_TrayWnd' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: taskbar (Shell_TrayWnd — usually NONE unless search/taskview)
[+ 119913ms] WINEVENT OBJECT_FOCUS           lat=  15ms hwnd=0x000200E0 class='Shell_TrayWnd' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: taskbar (Shell_TrayWnd — usually NONE unless search/taskview)
[+ 119916ms] WINEVENT OBJECT_FOCUS           lat=  15ms hwnd=0x00010222 class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 119916ms] UIA      FocusChanged            ctl=Button name='Start' class='ToggleButton' proc=explorer(5936)
[+ 119917ms] UIA      FocusChanged            ctl=Pane name='' class='Shell_TrayWnd' proc=explorer(5936)
[+ 119920ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 119924ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 119925ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 119927ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 119933ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 119940ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 119941ms] UIA      FocusChanged            ctl=Button name='Start' class='' proc=explorer(5936)
[+ 120151ms] WINEVENT OBJECT_CREATE          lat=   0ms hwnd=0x0036084C class='Windows.UI.Core.CoreWindow' title='Windows Shell Experience Host' proc=ShellExperienceHost(4920)
            focus: ctl=Pane name='' | parent: ctl=Pane name=''
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+ 120157ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 120169ms] WINEVENT OBJECT_SHOW            lat=   0ms hwnd=0x0036084C class='Windows.UI.Core.CoreWindow' title='Windows Shell Experience Host' proc=ShellExperienceHost(4920)
            focus: ctl=Pane name='' | parent: ctl=Pane name=''
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+ 120514ms] UIA-COM  Win.WindowOpened       ctl=Window name='Windows Shell Experience Host' class='Windows.UI.Core.CoreWindow' proc=ShellExperienceHost(4920)
[+ 120553ms] WINEVENT OBJECT_FOCUS           lat= 125ms hwnd=0x0036084C class='Windows.UI.Core.CoreWindow' title='Windows Shell Experience Host' proc=ShellExperienceHost(4920)
            focus: ctl=Window name='Windows Shell Experience Host' | parent: ctl=Pane name=''
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+ 120576ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x0036084C class='Windows.UI.Core.CoreWindow' title='Windows Shell Experience Host' proc=ShellExperienceHost(4920)
            focus: ctl=Window name='Windows Shell Experience Host' | parent: ctl=Pane name=''
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+ 120585ms] UIA-COM  Win.WindowOpened       ctl=Window name='Windows Shell Experience Host' class='Windows.UI.Core.CoreWindow' proc=ShellExperienceHost(4920)
[+ 120894ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x0036084C class='Windows.UI.Core.CoreWindow' title='Windows Shell Experience Host' proc=ShellExperienceHost(4920)
            focus: ctl=Button name='Do Not Disturb' | parent: ctl=Group name='Notifications'
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+ 121257ms] UIA      FocusChanged            ctl=Window name='Windows Shell Experience Host' class='Windows.UI.Core.CoreWindow' proc=ShellExperienceHost(4920)
[+ 121257ms] UIA      FocusChanged            ctl=Button name='Do Not Disturb' class='ToggleButton' proc=ShellExperienceHost(4920)
[+ 125068ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 130290ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 134595ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000C069C class='CASCADIA_HOSTING_WINDOW_CLASS' title='⠐ Plan next steps' proc=WindowsTerminal(5060)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 134613ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 134614ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 134701ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 134702ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 134702ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 134800ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000605EC class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 134806ms] WINEVENT OBJECT_FOCUS           lat= 188ms hwnd=0x000605EC class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 134816ms] WINEVENT OBJECT_FOCUS           lat=  15ms hwnd=0x000905FE class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 134818ms] WINEVENT OBJECT_FOCUS           lat=  15ms hwnd=0x000C069C class='CASCADIA_HOSTING_WINDOW_CLASS' title='⠐ Plan next steps' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 135263ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 138257ms] UIA      FocusChanged            ctl=Text name='Command Prompt' class='TermControl' proc=WindowsTerminal(5060)
[+ 138263ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 138266ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 138271ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 138273ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 138276ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 138277ms] UIA      FocusChanged            ctl=Text name='Command Prompt' class='' proc=WindowsTerminal(5060)
[+ 139002ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000200E0 class='Shell_TrayWnd' title='' proc=explorer(5936)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: taskbar (Shell_TrayWnd — usually NONE unless search/taskview)
[+ 139005ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x00010222 class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=explorer(5936)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 139009ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 139013ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 139015ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 139017ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 139019ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 139022ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000200E0 class='Shell_TrayWnd' title='' proc=explorer(5936)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: taskbar (Shell_TrayWnd — usually NONE unless search/taskview)
[+ 139029ms] UIA      FocusChanged            ctl=Button name='Start' class='ToggleButton' proc=explorer(5936)
[+ 139032ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 139035ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 139041ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 139047ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 139047ms] UIA      FocusChanged            ctl=Button name='Start' class='' proc=explorer(5936)
[+ 139048ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 139051ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 139057ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 139063ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 139251ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+ 139290ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+ 139332ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+ 139339ms] WINEVENT OBJECT_FOCUS           lat=  47ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+ 139361ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 139368ms] UIA-COM  Win.WindowOpened       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+ 139380ms] ╔═ SC ATTACHED (WindowOpened name='Start' (StartMenuExperienceHost) hwnd=0x000101B0) scope=TreeScope_Subtree → ctl=Window name='Start' class='Windows.UI.Core.CoreWindow'. Watching readiness + redraw [SC + LAYOUT:ok + SCROLL:ok]…
[+ 139387ms] SC     #1   ChildAdded           +    14ms (Δ    0ms) tid=6 ctl=Window name='Search' rid.len=2
[+ 139387ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 139480ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 140115ms] WINEVENT SYSTEM_FOREGROUND      lat=  15ms hwnd=0x000C069C class='CASCADIA_HOSTING_WINDOW_CLASS' title='⠐ Plan next steps' proc=WindowsTerminal(5060)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 140137ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000905FE class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 140146ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x000605EC class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 140148ms] UIA      FocusChanged            ctl=Text name='Command Prompt' class='TermControl' proc=WindowsTerminal(5060)
[+ 140148ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x000605EC class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 140154ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000C069C class='CASCADIA_HOSTING_WINDOW_CLASS' title='⠐ Plan next steps' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 140158ms] UIA-COM  Win.WindowClosed       ctl=Window name='Search' class='Windows.UI.Core.CoreWindow' proc=SearchHost(7044)
[+ 140173ms] UIA      FocusChanged            ctl=Text name='Command Prompt' class='' proc=WindowsTerminal(5060)
[+ 140174ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 140174ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 140175ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 140175ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 140175ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 140216ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 140217ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 140217ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 140290ms] UIA-COM  Win.WindowClosed       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+ 140291ms] ╚═ SC DETACHED (WindowClosed name='Start') — over 919ms: SC=1, LAYOUT=0, SCROLL=0.
[+ 142471ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+ 142495ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+ 142518ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+ 142521ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
